artist,track,url
"Troye Sivan","Rush","https://www.youtube.com/embed/08HDlslcGu4?autoplay=1&start=45&end=75&controls=0"
"Chase Atlantic","GREENGREENGREEN","https://www.youtube.com/embed/JSOwafXzJiQ?autoplay=1&start=53&end=83&controls=0"
"Rounhaa","fantom","https://www.youtube.com/embed/p9IlritU_gE?autoplay=1&start=57&end=87&controls=0"
"Stromae","Ma Meilleure Ennemie (from the series Arcane League of Legends)","https://www.youtube.com/embed/j-RpvIuazmc?autoplay=1&start=56&end=86&controls=0"
"Avril Lavigne","Sk8er Boi","https://www.youtube.com/embed/HagqouQV648?autoplay=1&start=30&end=60&controls=0"
"PLAZA","All Mine","https://www.youtube.com/embed/PA7Ovg1MCng?autoplay=1&start=52&end=82&controls=0"
"Jace June","Come Home","https://www.youtube.com/embed/D1Y1B0E4wuk?autoplay=1&start=39&end=69&controls=0"
"Summer Walker","SWV (with NO1-NOAH)","https://www.youtube.com/embed/nIeaB-Y5dmM?autoplay=1&start=53&end=83&controls=0"
"Shay","Même pas bonne","https://www.youtube.com/embed/GVXSY0t5EN8?autoplay=1&start=35&end=65&controls=0"
"Satine","L'idée de toi","https://www.youtube.com/embed/Ah9xfmQ1yzA?autoplay=1&start=45&end=75&controls=0"
"d4vd","Feel It","https://www.youtube.com/embed/N4lQtxmOwSg?autoplay=1&start=53&end=83&controls=0"
"d4vd","Feel It (From “Invincible”)","https://www.youtube.com/embed/11rpGprITo0?autoplay=1&start=57&end=87&controls=0"
"Conan Gray","Lonely Dancers","https://www.youtube.com/embed/1RF2AGOlMoU?autoplay=1&start=43&end=73&controls=0"
"Chezile","Beanie","https://www.youtube.com/embed/tERTBPdVivc?autoplay=1&start=57&end=87&controls=0"
"Britney Spears","Circus","https://www.youtube.com/embed/RcsUoC6DO-Y?autoplay=1&start=30&end=60&controls=0"
"Chezile","Run Away","https://www.youtube.com/embed/CKXffOEPK6U?autoplay=1&start=35&end=65&controls=0"
"Rihanna","Skin","https://www.youtube.com/embed/Q1Fa0_Iyf0g?autoplay=1&start=52&end=82&controls=0"
"Luniz","I Got 5 On It","https://www.youtube.com/embed/sx4qKJmLxLQ?autoplay=1&start=32&end=62&controls=0"
"overrated","Cooler Than Me","https://www.youtube.com/embed/43qiiONDkVU?autoplay=1&start=39&end=69&controls=0"
"Conan Gray","Memories","https://www.youtube.com/embed/w7LnzW3UCpo?autoplay=1&start=47&end=77&controls=0"
"Arcane","To Ashes and Blood - From The Series ""Arcane League of Legends""","https://www.youtube.com/embed/Gj-jmBi0aK8?autoplay=1&start=47&end=77&controls=0"
